Timestamp            Max Diff (ms) Port 50038      Port 50039      Port 50040      Port 50041      Port 50042      Port 50043      Port 50044      Port 50045      Port 50046      Port 50047      Port 50048      Port 50049     
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17:14:02.675         1.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.702         2.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +2.0ms          +1.0ms          +2.0ms          +1.0ms          +2.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.733         1.0          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.762         1.0          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.791         2.0          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +1.0ms          +2.0ms          +0.0ms          +2.0ms          +1.0ms          +2.0ms          +2.0ms          +2.0ms         
17:14:02.812         1.0          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.842         2.0          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +2.0ms          +2.0ms         
17:14:02.861         1.0          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.872         1.0          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms         
17:14:02.898         1.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms         
17:14:02.921         1.0          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         

========================================================================================================================
SUMMARY
========================================================================================================================
Total correlated groups: 328
Time window: 10.0ms
Ports analyzed: [50038, 50039, 50040, 50041, 50042, 50043, 50044, 50045, 50046, 50047, 50048, 50049]
Average max time difference: 1.06ms
Maximum time difference: 5.00ms
Minimum time difference: 0.00ms
